id,title,overview,poster_path,genres,rating,release_date,runtime,production_companies,production_countries
512198,Dead Bride,"After her father’s death, Alyson, her partner Richard and their baby return to her childhood home. Following a few shocking supernatural events, Alyson discovers that she and her family have been living with a terrible curse, unleashed in the past by a bride killed by Alyson’s grandfather. Soon after Alyson’s child disappears and she has no choice but to embark on a frightening journey into the underworld, to free herself from the bride’s curse and to look for her daughter.",/6JKx00vSLzKX3jSMJIhpwPU9Qzq.jpg,"Horror, Thriller",4.75,2025-01-09,83,Metrovideo,Italy
615457,Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,"Action, Thriller",7.9,2021-03-18,91,"87North Productions, OPE Partners, Eighty Two Films",United States of America
97,Tron,"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...And becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",/zwSFEczP7AzqugAHHIX3zHniT0t.jpg,"Science Fiction, Action, Adventure",6.653,1982-07-09,95,"Lisberger/Kushner Productions, Walt Disney Productions",United States of America
10138,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,"Adventure, Action, Science Fiction",6.848,2010-04-28,124,"Marvel Studios, Fairview Entertainment, Marvel Entertainment",United States of America
4951,10 Things I Hate About You,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",/ujERk3aKABXU3NDXOAxEQYTHe9A.jpg,"Comedy, Romance, Drama",7.59,1999-03-30,97,"Mad Chance, Jaret Entertainment",United States of America
80295,14 and Under,"This episodic film is a close relative of Wolf Hartwig's schoolgirl report movies, made by the same people, in a similar style, around similar topics. However, this one specifically focuses on the coming-of-age aspects, to an extent that it also touches on delicate issues such as paedophilia.",/sreO7KKeh6s99jYFl9XzpxDkOeZ.jpg,"Comedy, Romance",5.457,1973-08-16,87,"Rapid Film, Constantin Film, Atlas Films, Fuji Eiga Company",Germany
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,"Action, Science Fiction",0.0,2025-11-05,106,"20th Century Studios, Lawrence Gordon Productions, Davis Entertainment, Toberoff Productions",United States of America
22970,The Cabin in the Woods,"Five friends set out for a weekend at a remote cabin in the woods, expecting nothing more than fun and relaxation. As night falls, they discover that something far more unsettling is at work and that nothing about their getaway is what it seems.",/zZZe5wn0udlhMtdlDjN4NB72R6e.jpg,"Horror, Mystery, Comedy",6.64,2012-04-12,95,Mutant Enemy Productions,United States of America
858485,Kantara,"Shiva, a tribal vagabond lives with his mother in hamlet, stays away from the traditional Daivaradhane and Bhoota Kola legacy due to an unforgettable childhood incident. He is happy loafing around with his friends and doing petty jobs for his landlord. When Forest officer Murali enters the scene, it gives a fresh dimension to the man-vs-nature fight. Can Shiva save the forest from Murali? Or is Murali just a dummy bait cast by bigger fish?",/jIsKmkxMzdCZ0Ux1GVSnu8m6Na6.jpg,"Action, Adventure, Thriller",7.14,2022-09-30,147,Hombale Films,India
1352624,The Mastermind,"In a sedate corner of Massachusetts circa 1970, an unemployed carpenter turned amateur art thief plans his first big heist. When things go haywire, his life unravels.",/hCQjAPmraF3ppv3KfNXA4lkBnbe.jpg,"Drama, Crime",5.2,2025-10-16,110,"filmscience, MUBI","United Kingdom, United States of America"
1035048,Elevation,"Post-apocalyptic survivors find refuge in the Rocky Mountains to hide from giant, insect-like creatures that can't live above 8,000 feet. However, when one of them needs life-saving supplies, they risk it all to venture into the danger zone.",/tnfc0NJ3BzhJrGJhkkEd6MHBdq5.jpg,"Action, Science Fiction, Thriller",6.455,2024-11-07,91,"Lyrical Media, Grinder Monkey, John Glenn Entertainment, Story Ink",United States of America
10625,Mean Girls,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",/2ZkuQXvVhh45uSvkBej4S7Ix1NJ.jpg,"Drama, Comedy",7.222,2004-04-30,96,"Broadway Video, Paramount Pictures, M.G. Films",United States of America
401767,The Pursuit of the Phantom,"Accompanied by his dog Skookum, artist Richard Alden goes to work painting the beauty of Laguna Beach. There he courts a city woman, much to the delight of a whimsical waif who weaves fantasies about the lovers. The idyll is interrupted, though, when Wyant Van Zandt, an ambitious millionaire, steals the artist's sweetheart. Alden marries the waif, who later bears him six children. Years pass, and Van Zandt's son falls in love with Helen, the artist's daughter. Indignant at the unsuitability of the match, the millionaire forces his son to break with Helen. Thinking that his daughter's honor has been compromised, Alden attacks and chokes the youth, but at young Van Zandt's bedside, all are reconciled. An allegorical epilogue contrasts the lots of Van Zandt and Alden. To the left, the millionaire embraces a skeleton in black, while, to the right, the artist holds his wife. -From TCM.com Database, powered by the AFI.",,Drama,0.0,1914-10-01,50,Hobart Bosworth Productions,United States of America
109445,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",/itAKcobTYGpYT8Phwjd8c9hleTo.jpg,"Animation, Family, Adventure, Fantasy",7.2,2013-11-20,102,Walt Disney Animation Studios,United States of America
1371189,Ruth & Boaz,"A talented singer leaves the Atlanta music scene and starts over in small-town Tennessee, where she finds love and new purpose but can't escape the past.",/mtMJEIHjeHcLtvP0tFPAptk1Var.jpg,"Romance, Drama, Music",7.71,2025-09-25,93,Tyler Perry Studios,United States of America
591,The Da Vinci Code,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.",/9ejKfNk0LBhSI9AahH4f9NJNZNM.jpg,"Thriller, Mystery",6.729,2006-05-17,149,"Imagine Entertainment, Skylark Productions",United States of America
106646,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,"Crime, Drama, Comedy",8.027,2013-12-25,180,"Red Granite Pictures, Appian Way, Sikelia Productions, EMJAG Productions",United States of America
73723,The Lorax,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",/tePFnZFw5JvjwjQjaKkqDPNMLPU.jpg,"Animation, Family",6.513,2012-03-01,86,Illumination,United States of America
294254,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",/mYw7ZyejqSCPFlrT2jHZOESZDU3.jpg,"Science Fiction, Action, Thriller, Adventure",6.733,2015-09-09,131,"Temple Hill Entertainment, The Gotham Group, TSG Entertainment, 20th Century Fox",United States of America
64690,Drive,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,"Drama, Thriller, Crime",7.582,2011-09-15,100,"FilmDistrict, Bold Films, Marc Platt Productions, OddLot Entertainment, Motel Movies, Newbridge Film Capital",United States of America
670,Oldboy,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,"Drama, Thriller, Mystery, Action",8.2,2003-11-21,120,"Show East, Egg Film, Cineclick Asia",South Korea
1315986,Man with No Past,"Waking up in an unfamiliar city, a man with no memory must confront the mysteries of his own identity. However, his desperate search to uncover the past pits him against a powerful enemy, leading to a showdown that ultimately reveals the truth.",/eWHvROuznSzcxBAAkzX1X0Rmzoe.jpg,"Action, Drama",6.5,2025-01-13,103,"SP Media Group, Steven Paul Production",United States of America
937287,Challengers,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",/H6vke7zGiuLsz4v4RPeReb9rsv.jpg,"Drama, Romance",6.9,2024-04-18,132,"Pascal Pictures, Why Are You Acting? Productions, Frenesy Film, Amazon MGM Studios","Italy, United States of America"
420634,Terrifier,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,/fjXqhGmaeQpB73WerhrYU6HlyV5.jpg,"Horror, Thriller",6.3,2018-01-25,84,Dark Age Cinema,United States of America
