id,title,overview,poster_path
9479,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg
1056444,The Colors Within,"Totsuko is a high school student with the ability to see the 'colors' of others. Colors of bliss, excitement, and serenity, plus a color she treasures as her favorite. Kimi, a classmate at her school, gives off the most beautiful color of all. Although she doesn't play an instrument, Totsuko forms a band with Kimi and Rui, a quiet music enthusiast they meet at a used bookstore in a far corner of town. As they practice at an old church on a remote island, music brings them together, forming friendships and stirring affections.",/gOWDvzglcQZOQPqGfVF6hfOhMNT.jpg
707610,Bosomy Mom,"Da-hee gets married to Min-soo who is older than her. Thanks to him, he also gets a son who is not too old, Jae-hyuk, who she tries to get acquainted with, albeit awkwardly. After staying with Na-yeon, she suddenly has to meet Jae-hyuk, and Na-yeon has a date with Jae-hyuk. Min-soo is surprised to find three people coming back home from a date. It made him angry to see his son with two women. Right away, Min-soo seeks Da-hee and asks about Na-yeon. Na-yeon met Min-soo secretly. However, Da-hee who is aware of Min-soo and Da-hee's relationship, shares this fact to Jae-hyun.",/zarhMAQRWKjjsNBR1rviIXZ5xtt.jpg
76338,Thor: The Dark World,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",/wD6g4EcmR6R3VNbuBmNOVq2qWrM.jpg
1282980,825 Forest Road,"After a family tragedy, Chuck Wilson hopes to start a new life in Ashland Falls with his wife Maria and little sister Elizabeth, but he quickly discovers that the town has a dark history of being haunted by a ghostly woman who drives residents to suicide.",/ohESp5Nw49OD4ExCeNYCEIGX2iq.jpg
1311844,The Twisters,"A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around.",/8OP3h80BzIDgmMNANVaYlQ6H4Oc.jpg
967160,Claudia,"Eager to escape her high-society life among the English Elite, a woman falls in love with a young musician. Her husband, however has other plans for her.",/d8NYTygRU6ztSuvCdx6VoM5qQpF.jpg
8587,The Lion King,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg
694943,Pizza Dare 1,"Seok, who wants to try perverted sex, pesters Hyun-jin every day, but Hyun-jin rejects it saying she only like normal things.  And then one day while delivering chicken, he found So-ra and Hyun-soo, a couple who enjoys delivery exposures.  Frustrated as he is with Hyun-jin, he starts neglecting her and became more and more hooked with the So-ra couple.  To recover their relationship, Hyun-jin goes on a date with Seok. But then a call came for him. The couple invites him for sex.  Will he be having a date with his wife, or will he accept the invitation he may only get once in a lifetime?  What would be his choice?",/km7xKnZoHUXqiozCGzauunMp9OF.jpg
1245399,Hola Frida!,"It’s the story of a little girl who is different. Her world is Coyoacan, Mexico City. Sparkling, vibrant, everything interests her and when difficulties arise, she faces them with an overflowing imagination. This little girl is called Frida Kahlo.",/hY8TslXAaJD0cytxifrhy6h5cJl.jpg
85,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",/ceG9VzoRAVGwivFU403Wc3AHRys.jpg
1244890,Sharp Corner,A dedicated family man becomes obsessed with saving the lives of the car accident victims on the sharp corner in front of his house – an obsession that could cost him everything.,/hPK7H70vQVpT3qn9zedKqizXVdx.jpg
284054,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",/uxzzxijgPIY7slzFvMotPv8wjKA.jpg
324568,Delinquent in Drag,"Does being the only guy in an all girl school sound like paradise? It might be, if the girls knew you were a guy, but to stay in school teenage pervert Banji can't let can't let anyone find out his chromosomes don't match. Banji's status conscious parents want him to go to a good school, but not enough to spend the money on a good co-ed school. Now, in addition to studying math and science, Banji has to learn how to put on a bra and makeup. His life has become a living hell. Not only is he at the bottom of the social pecking order, he must also got to conceal his inner-masculinity from the pretty classmate girl who's stolen his heart while avoiding the female bullies who threaten to expose his less-than-feminine charms in the locker room.",/rWEykM1thLhYee6mK25fGLXyO14.jpg
1317159,Way Home,"How far are you willing to go to save the people you love? This is the question Christian is forced to answer when he is smuggled into Syria in a desperate search for his son Adam. It's a deadly and soul-searching journey into a brutal, war-torn country. Gradually, Christian realises that he must be willing to sacrifice everything he believes in to be reunited with his son.",/iC0sFXBZuWPipYtye4dIf5U5E9k.jpg
1454800,Trapped,"In 1995, the year before the comprehensive gun ban policy was implemented, the tranquility of Mangya Town was shattered. A notorious bandit leader, who had hidden a massive treasure, broke out of prison. Forty-three ruthless outlaws gathered from all directions, joining their leader, Beishan, in blockading Mangya by force. The entire town was plunged into a desperate crisis—cut off from fuel and communication!  The bandits wanted both money and lives. Gunfire erupted across Mangya as a massive sandstorm loomed on the horizon. Facing impossible odds—one gun against eighty-eight—the gang also turned on each other in a brutal ""dog-eat-dog"" power struggle. Surrounded by enemies, with sandstorms blotting out the sun and death hanging by a thread—how can they turn the tide?",/mmIqkyXhlgcaSb1S8zJsLQwGBls.jpg
1197306,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg
1035048,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,/tnfc0NJ3BzhJrGJhkkEd6MHBdq5.jpg
1100099,We Live in Time,"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",/oeDNBgnlGF6rnyX1P1K8Vl2f3lW.jpg
335787,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg
4348,Pride & Prejudice,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",/jnsoq5q98DQaE8yw6WZH0F9dW5G.jpg
1414048,Day of Reckoning,"Put-upon lawman John Dorsey is on the verge of losing his wife and his job as sheriff, so he posses up with bullish U.S. Marshall Butch Hayden to hold outlaw Emily Rusk hostage. A battle of wills ensues as Emily turns the posse on themselves, but as her marauding husband and his gang approach, Emily and John realize they will need each other to survive.",/cVSjSQryFUERYSdOmdgJ2m0eBte.jpg
1249213,Drop,"Violet, a widowed mother on her first date in years, arrives at an upscale restaurant where she is relieved that her date, Henry, is more charming and handsome than she expected. But their chemistry begins to curdle as Violet begins being irritated and then terrorized by a series of anonymous drops to her phone.",/dS2S5lpfgRIRQOb7LDCjNsQqKjp.jpg
1233575,Black Bag,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband – also a legendary agent – faces the ultimate test of whether to be loyal to his marriage, or his country.",/hHPovtU4b96LHcoeEwRkGHI5btw.jpg
1079091,It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",/cSMdFWmajaX4oUMLx7HEDI84GkP.jpg
57158,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg
529203,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg
634649,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg
585511,Luck,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",/9OpVlfJGNvX3lUqdzY0nGoA6wQa.jpg
676685,Panda Bear in Africa,"A young adventurous panda travels from China to Africa to rescue his best friend, Jielong the Dragon, who has been kidnapped. On his journey, he discovers a strange amazing new world of mountains, deserts and jungles.",/wxpu7svVqA0ALYpofQBPujGelN3.jpg
4935,Howl's Moving Castle,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",/23hUJh7JdO23SpgUB5oiFDQk2wX.jpg
319305,Save the Last Dance for Me,"The true story of a pair of college students who attempted a double suicide to end their doomed romance becomes fare for legendary pinku-eiga director Hisayasu Sato in this feature. Fatalistic and sad, this is one of the more depressing Japanese softcore films, and Sato makes it even worse by including footage from the lovers’ actual 8 mm experimental film throughout the story",/3gBrgE55qPwJMn81qYXJNQorsV8.jpg
1064028,Subservience,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg
1022789,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
912649,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",/vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg
1147710,Hijack 1971,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",/68jNkFi61MQjrJEqj2up5wZ4w5R.jpg
240,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
420818,The Lion King,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg
12445,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",/c54HpQmuwXjHq2C9wmoACjxoom3.jpg
299687,The 5th Wave,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,/ja34BV577dtjWl2S5G1tB93IjYb.jpg
1005331,Carry-On,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,/sjMN7DRi4sGiledsmllEw5HJjPy.jpg
292610,Ladies' Doctor,"Dr. Lo Bianco, debt load, flees abroad and the headquarters avviatissimo study gynecological colleague Giovannaldi. These are adept at gaining the trust of high society and, thanks to the relationship established with the wife of a wealthy manufacturer (enough to get her pregnant), she becomes finance, own the cuckolded husband, a luxury clinic. And there will be a prize for Lobianco.",/8KwEjKVFoz6B9oRXgeSastYUUUz.jpg
1255788,The Gardener,"Every year the Prime Minister has a list of all kinds of troublemakers eliminated in the name of the famous Reason of State. Serge Shuster, Special Adviser to the President of the Republic, finds himself on this list, better known as the Matignon List.  Condemned to certain death and at the heart of an implacable plot and a state secret that also put his family in danger, Serge, his wife and children have only one hope left - their gardener, Léo, who hates it when « slugs » invade his garden... Especially those that want to kill innocent families.",/5T9WR7vIOnHm6xhVt5zBuPbBgt1.jpg
588228,The Tomorrow War,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg
38365,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",/ys0LscDFAuZxfUcpH5moiPeFfXs.jpg
346910,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",/a3eWGF6YPF7No5Rbtjc8QpDvz7l.jpg
968171,Sex Education Mistresses,"An erotic comedy depicting the sex adventures of  young wives living in an apartment complex, that are not satisfied with just having sex with their husbands.",/xghWMg0pkBOdLHCTESyeyHU68wl.jpg
1426776,STRAW,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg
18240,The Proposal,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",/aEqtJDj8MvSDQwzggvcOfFTZMw.jpg
294254,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",/mYw7ZyejqSCPFlrT2jHZOESZDU3.jpg
1093237,Hurry Up Tomorrow,A musician plagued by insomnia is pulled into an odyssey with a stranger who begins to unravel the very core of his existence.,/9W44XSMYbjXdlXcQhD104zPhhhJ.jpg
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
259872,Skin. Like. Sun.,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",/uCkANtG6ezb7hjRKVudY3PUcbvn.jpg
829560,The Next 365 Days,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,/5r9RI0IqztfZJ4C4uSdyoiFYvOB.jpg
207,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg
957452,The Crow,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",/g8TbOXrNMuqq7AaKqdvqS2oG4ob.jpg
120,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
1291559,Drawing Closer,"With only a year left to live, 17-year-old Akito finds new meaning in life by bringing joy to a terminally ill girl who has just six months remaining.",/173FD4a0rpSF30z4CoWx6qdx8Ry.jpg
1151039,Nonnas,"After losing his beloved mother, a man risks everything to honor her by opening an Italian restaurant with actual nonnas — grandmothers — as the chefs.",/5Bf1xlxLuCHdi74MpdFi2Yz3FGJ.jpg
1100988,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",/n5FygjEppOvac6yEaowi26nTyw3.jpg
9444,Anastasia,"Ten years after she was separated from her family, an eighteen-year-old orphan with vague memories of the past sets out to Paris in hopes of reuniting with her grandmother. She is accompanied by two con men, who intend to pass her off as the Grand Duchess Anastasia to the Dowager Empress for a reward.",/bppGWGA8zq1sRvTdDJnUzVW9GcH.jpg
70410,The Public Woman,"An inexperienced young actress is invited to play a role in a film based on Dostoyevsky's 'The Possessed'. The film director, a Czech immigrant in Paris, takes over her life, and in a short time she is unable to draw the line between acting and reality. She winds up playing a real-life role posing as the dead wife of another Czech immigrant, who is manipulated by the filmmaker into commiting a political assassination.",/5MXaIoOKGfxanGqxgrLgv0OtV39.jpg
585,"Monsters, Inc.","Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg
260513,Incredibles 2,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg
939099,swingers ZwingerZ,,/lemo5hfG4w7Sm9mKjiIGmJ3hkYB.jpg
1289601,Life After Fighting,"Retired martial arts world champion Alex Faulkner has settled into a simple life, when the disappearance of two of his students leads to an unthinkable discovery close to home. Just when all hope of finding the children is lost, he locates the imprisoned girls and unsurfaces an international child trafficking operation, which draws him back into the fight of his life against those behind it.",/uKWAk4BHzyEOMmLKUDXoIAPhH36.jpg
883954,Broke,A bronc rider in denial about his fading rodeo career battles against brain injury and a sudden blizzard while reflecting on how it became so difficult to achieve his dreams.,/ooCDeGxZ5to9CRKxkBEAIWtoRA4.jpg
